,words,labels,sentence_id
1,1,O,1
2,This,O,1
3,sound,O,1
4,track,O,1
5,was,O,1
6,beautiful!,B-ADJECTIVE,1
7,It,O,1
8,paints,O,1
9,the,O,1
10,senery,O,1
11,in,O,1
12,your,O,1
13,mind,O,1
14,so,O,1
15,well,O,1
16,I,O,1
17,would,O,1
18,recomend,O,1
19,it,O,1
20,even,O,1
21,to,O,1
22,people,O,1
23,who,O,1
24,hate,O,1
25,vid.,O,1
26,game,O,1
27,music!,O,1
28,I,O,1
29,have,O,1
30,played,O,1
31,the,O,1
32,game,O,1
33,Chrono,B-I-LOC,1
34,Cross,B-B-LOC,1
35,but,O,1
36,out,O,1
37,of,O,1
38,all,O,1
39,of,O,1
40,the,O,1
41,games,O,1
42,I,O,1
43,have,O,1
44,ever,O,1
45,played,O,1
46,it,O,1
47,has,O,1
48,the,O,1
49,best,O,1
50,music!,O,1
51,It,O,1
52,backs,O,1
53,away,O,1
54,from,O,1
55,crude,B-I-VERB,1
56,keyboarding,B-B-VERB,1
57,and,O,1
58,takes,O,1
59,a,O,1
60,fresher,O,1
61,step,O,1
62,with,O,1
63,grate,O,1
64,guitars,O,1
65,and,O,1
66,soulful,O,1
67,orchestras.,O,1
68,It,O,1
69,would,O,1
70,impress,O,1
71,anyone,O,1
72,who,O,1
73,cares,O,1
74,to,O,1
75,listen!,O,1
76,^_^,O,1
78,5,O,5
79,"""If",O,5
80,you've,O,5
81,played,O,5
82,the,O,5
83,"game,",O,5
84,you,O,5
85,know,O,5
86,how,O,5
87,divine,O,5
88,the,O,5
89,music,O,5
90,is!,O,5
91,Every,O,5
92,single,O,5
93,song,O,5
94,tells,O,5
95,a,O,5
96,story,O,5
97,of,O,5
98,the,O,5
99,"game,",O,5
100,it's,O,5
101,that,O,5
102,good!,O,5
103,The,O,5
104,greatest,O,5
105,songs,O,5
106,are,O,5
107,without,O,5
108,a,O,5
109,"doubt,",O,5
110,Chrono,O,5
111,Cross:,O,5
112,Time's,O,5
113,"Scar,",O,5
114,Magical,O,5
